date,crop,region,season,yield_prediction,global_demand,weather_impact,economic_condition,supply_index,demand_index,inventory_level,export_demand,production_cost,days_to_harvest,fertilizer_usage,irrigation_usage,price_per_ton
2020-11-14,Tea,South,Spring,3.62,high,normal,recession,87.04,73.92,51.91,30.92,1133.99,87,low,high,3044.57
2021-12-23,Tea,Southwest,Spring,1.14,high,normal,recession,88.19,79.95,24.86,32.73,1175.11,37,low,low,5150.31
2023-10-27,Tomato,North,Summer,3.13,high,excellent,growth,61.49,55.92,30.39,62.83,73.95,169,medium,low,255.62
2021-10-30,Coffee,Central,Spring,4.19,low,excellent,stable,77.11,41.98,46.0,61.47,808.06,117,medium,low,977.64
2020-05-14,Cotton,South,Spring,5.25,medium,poor,stable,40.23,33.9,76.42,87.59,1267.56,118,high,medium,3217.81
2023-01-28,Potato,Southwest,Spring,5.79,medium,poor,growth,56.41,37.32,44.66,22.41,226.4,105,high,high,364.12
2020-11-09,Coffee,West,Spring,2.81,low,excellent,recession,69.75,48.7,46.4,58.27,981.07,104,low,low,955.55
2025-09-13,Sugarcane,Central,Winter,1.62,high,normal,recession,41.76,32.71,32.77,47.21,21.78,124,medium,low,67.61
2022-04-18,Soybean,South,Summer,6.8,high,excellent,recession,51.41,46.86,47.99,29.86,315.49,71,medium,medium,215.7
2023-05-31,Tea,Southwest,Summer,1.04,high,normal,recession,78.93,72.41,61.03,73.99,1011.07,88,low,medium,6888.65
2023-05-14,Soybean,South,Summer,3.51,high,excellent,stable,36.95,81.79,53.63,43.16,149.3,84,high,medium,607.36
2024-12-21,Tea,Northwest,Summer,6.11,medium,poor,recession,68.25,83.23,43.06,28.37,1969.87,173,high,medium,1934.32
2020-12-06,Sugarcane,Southeast,Autumn,6.33,low,poor,growth,63.68,76.26,44.57,56.59,25.69,156,low,low,47.19
2024-07-01,Maize,East,Winter,3.2,high,poor,stable,60.51,84.45,27.45,48.73,135.56,127,high,medium,687.6
2022-11-22,Soybean,Southwest,Spring,2.6,high,excellent,recession,34.62,47.39,21.29,85.08,316.83,167,medium,high,867.09
2024-04-26,Rice,Central,Winter,6.63,low,normal,recession,41.19,83.55,47.75,76.52,299.22,97,high,low,270.22
2025-02-03,Rice,Central,Summer,3.23,low,normal,recession,36.6,43.68,39.9,77.26,292.15,168,high,low,291.29
2024-10-28,Cotton,Northwest,Spring,3.92,low,normal,stable,43.33,37.19,33.63,86.0,830.88,91,low,low,1609.18
2024-09-04,Rice,South,Winter,4.63,low,excellent,recession,72.18,51.82,78.02,87.37,170.36,62,high,medium,148.42
2023-05-24,Maize,Central,Winter,2.99,low,excellent,growth,32.21,66.57,45.19,23.6,87.86,81,high,medium,139.58
2022-11-16,Tea,Northeast,Winter,7.36,high,normal,recession,44.37,38.69,44.26,89.0,1263.08,93,low,low,3351.12
2020-07-01,Wheat,Southwest,Summer,2.66,high,poor,recession,73.69,52.07,54.26,64.35,141.97,48,high,high,370.53
2024-02-17,Barley,South,Spring,1.63,medium,poor,growth,80.12,49.25,23.06,22.85,131.0,90,medium,high,450.39
2023-06-18,Barley,Southwest,Summer,5.52,high,excellent,growth,40.46,71.46,37.07,85.57,81.13,151,low,medium,501.34
2020-06-17,Barley,South,Spring,3.39,high,normal,stable,36.81,85.48,71.41,38.06,138.6,138,medium,medium,291.44
2021-08-13,Tea,South,Spring,4.71,medium,excellent,stable,44.51,35.59,72.81,83.03,1849.65,57,low,low,2493.05
2023-10-08,Tomato,Northwest,Summer,3.37,medium,poor,stable,50.95,73.56,72.8,82.1,137.99,148,low,low,468.85
2023-06-16,Tomato,South,Spring,2.13,high,excellent,recession,83.91,66.39,10.64,27.1,126.35,53,low,low,139.35
2022-04-03,Potato,Northwest,Summer,1.04,medium,poor,recession,39.65,62.92,58.43,65.64,123.64,127,low,medium,718.15
2022-07-10,Potato,Central,Winter,3.28,high,excellent,growth,74.79,68.98,69.45,66.03,175.25,154,low,low,416.53
2024-04-11,Barley,North,Spring,1.66,high,normal,recession,52.06,45.91,27.08,88.11,109.24,42,high,medium,584.23
2025-09-28,Tomato,East,Spring,6.56,high,poor,recession,60.16,64.61,44.48,33.67,132.25,47,high,low,209.67
2023-07-26,Barley,Southeast,Spring,2.97,high,poor,growth,31.46,68.73,22.4,85.83,170.93,40,high,low,1186.41
2023-05-14,Tea,Southwest,Autumn,1.11,medium,poor,growth,85.7,55.69,77.67,87.45,2179.51,110,low,medium,8572.07
2020-11-06,Maize,Central,Winter,3.06,medium,poor,recession,53.11,81.07,32.18,31.86,115.68,147,high,high,268.73
2023-02-22,Rice,Southwest,Summer,4.99,high,normal,recession,35.83,66.9,79.3,29.81,223.67,119,low,low,429.02
2024-09-19,Soybean,East,Winter,7.14,high,excellent,stable,74.45,71.82,59.17,45.16,201.06,165,low,high,364.79
2022-05-25,Soybean,South,Summer,7.07,medium,poor,recession,84.79,60.68,45.11,75.88,281.24,171,low,medium,433.55
2022-02-19,Coffee,West,Autumn,5.91,low,excellent,growth,77.75,83.4,33.66,46.29,867.48,97,high,medium,1606.61
2022-03-24,Wheat,South,Winter,4.26,medium,poor,recession,62.56,47.19,51.36,22.14,79.67,115,low,high,205.55
2024-08-22,Maize,Northwest,Winter,6.76,high,poor,recession,51.61,37.62,46.56,73.9,81.58,49,high,low,250.62
2023-01-16,Wheat,Northeast,Summer,1.36,medium,poor,recession,61.88,62.44,54.62,70.83,196.98,108,medium,low,630.08
2021-07-04,Barley,West,Spring,4.61,medium,excellent,stable,49.38,77.71,28.96,50.73,74.63,69,low,low,281.22
2025-12-18,Sugarcane,North,Summer,3.86,high,normal,stable,40.4,39.39,27.52,58.45,32.86,93,medium,low,86.62
2021-12-08,Rice,Southeast,Spring,5.62,medium,poor,recession,46.8,87.29,61.65,58.8,242.34,147,medium,medium,604.92
2025-06-16,Barley,North,Summer,3.49,medium,normal,stable,75.47,30.86,18.13,23.22,70.48,47,medium,medium,165.03
2020-04-28,Tomato,Southeast,Autumn,6.99,low,poor,stable,72.22,58.45,16.85,54.41,107.35,75,high,medium,148.47
2024-11-26,Rice,Southeast,Autumn,3.79,high,normal,stable,66.95,68.11,13.17,46.22,245.17,160,low,medium,621.69
2025-09-14,Barley,Central,Spring,4.52,high,normal,recession,81.39,69.52,21.41,24.94,136.67,163,high,high,237.34
2022-07-22,Barley,Northeast,Winter,7.58,low,excellent,stable,64.53,53.29,55.03,52.08,126.02,110,high,low,67.72
2021-08-19,Tomato,Central,Winter,7.59,medium,normal,growth,53.17,87.67,73.37,33.71,66.94,105,high,low,159.63
2022-08-02,Sugarcane,Southeast,Summer,1.5,high,excellent,stable,49.14,80.69,11.63,77.01,22.05,133,high,low,166.53
2023-10-05,Soybean,West,Winter,1.83,high,excellent,growth,71.8,67.74,71.42,71.45,315.78,112,medium,medium,1003.35
2025-08-24,Tea,West,Winter,6.25,high,poor,growth,78.41,89.43,38.88,46.04,2064.62,51,medium,high,5379.18
2020-03-16,Tea,Northeast,Spring,3.39,low,excellent,stable,85.85,81.5,40.03,72.56,2031.81,87,low,low,2423.5
2021-08-27,Wheat,West,Winter,3.24,high,poor,stable,83.73,53.35,10.76,83.38,86.41,136,high,high,699.54
2021-11-10,Sugarcane,Northwest,Winter,3.24,low,poor,growth,87.0,87.04,50.14,64.23,26.21,31,low,medium,64.77
