date,crop,region,season,pest,temperature,humidity,rainfall,wind_speed,soil_moisture,soil_ph,soil_type,nitrogen,phosphorus,potassium,weather_condition,irrigation_method,previous_crop,days_since_planting,plant_density,pest_presence,severity,recommended_treatment
2023-08-03,Rice,North,Autumn,Hessian Fly,24.4,91.8,109.8,18.0,20.9,5.5,Sandy,21.0,87.3,200.3,Cloudy,Drip,Tomato,32,58698,1,8,Immediate pesticide application recommended
2025-07-12,Wheat,North,Spring,Grasshoppers,22.6,64.1,64.8,8.7,52.8,5.5,Peat,65.5,39.8,164.0,Cloudy,None,Wheat,60,66925,1,10,Immediate pesticide application recommended
2022-05-13,Tomato,Southeast,Summer,Wireworms,29.8,33.0,91.1,5.1,14.6,8.3,Loam,193.5,81.8,126.2,Dry,Drip,Maize,118,42298,1,8,Immediate pesticide application recommended
2022-04-01,Maize,West,Autumn,Corn Borers,18.1,62.2,5.2,27.3,28.1,7.3,Silt,69.2,54.4,186.7,Sunny,Drip,Cotton,98,59565,1,10,Immediate pesticide application recommended
2020-08-04,Wheat,Northwest,Spring,Stem Borers,17.2,42.7,6.8,9.8,37.2,5.9,Peat,167.5,38.9,120.2,Sunny,Flood,Cotton,59,66174,0,0,None
2025-05-29,Wheat,West,Autumn,Boll Weevils,16.9,94.1,115.8,6.0,10.4,7.9,Sandy,144.3,74.3,242.8,Stormy,Drip,Sugarcane,81,49714,1,4,Preventive measures recommended
2022-01-30,Cotton,East,Autumn,Spider Mites,36.6,70.5,49.6,1.9,31.8,6.1,Chalky,148.6,65.6,271.8,Cloudy,Flood,Rice,53,55005,1,10,Immediate pesticide application recommended
2020-06-22,Maize,Northwest,Winter,Japanese Beetles,34.0,66.5,115.6,14.8,46.6,6.5,Chalky,14.8,15.2,57.9,Windy,None,Barley,93,75237,1,10,Immediate pesticide application recommended
2024-03-31,Barley,North,Autumn,Stem Borers,37.7,46.2,61.6,22.7,26.0,5.3,Clay,65.1,20.3,282.4,Rainy,Sprinkler,Cotton,64,62954,0,0,None
2024-12-21,Sugarcane,Northwest,Summer,Japanese Beetles,30.8,86.6,120.6,5.6,72.5,6.9,Sandy,163.4,90.1,129.5,Cloudy,None,Tomato,77,68956,1,9,Immediate pesticide application recommended
2020-12-06,Sugarcane,Southeast,Autumn,Hessian Fly,35.5,85.9,1.0,15.3,39.2,5.8,Peat,32.8,37.1,285.7,Cloudy,Furrow,Rice,22,76433,1,4,Preventive measures recommended
2024-09-14,Maize,East,Winter,Boll Weevils,24.1,93.2,144.4,7.6,44.8,6.1,Silt,64.1,8.5,202.4,Humid,None,Potato,145,36476,1,9,Immediate pesticide application recommended
2022-03-29,Wheat,South,Autumn,Root Knot Nematodes,37.7,45.6,21.7,14.7,79.0,5.8,Loam,137.7,77.4,109.4,Sunny,Furrow,Maize,126,20212,0,0,None
2021-05-16,Tomato,East,Spring,Leafhoppers,30.8,64.8,13.5,25.1,32.5,5.7,Chalky,17.7,61.1,219.4,Stormy,None,Barley,49,44504,1,6,Monitor closely and consider treatment
2020-06-28,Tomato,Southwest,Spring,Root Knot Nematodes,31.1,41.3,103.6,11.6,75.6,5.5,Clay,74.8,15.8,281.2,Humid,Drip,Cotton,88,35692,1,10,Immediate pesticide application recommended
2024-01-16,Barley,South,Spring,White Grubs,35.4,66.1,79.4,7.3,16.5,8.1,Clay,181.1,65.1,134.8,Stormy,None,Maize,42,63237,1,8,Immediate pesticide application recommended
2025-11-13,Tomato,East,Autumn,Whiteflies,37.2,80.7,96.3,2.5,21.3,8.1,Peat,125.2,5.9,75.4,Stormy,Furrow,Barley,148,69497,1,10,Immediate pesticide application recommended
2020-07-17,Barley,Central,Winter,Spider Mites,31.3,44.6,106.8,7.1,32.8,7.6,Peat,133.4,85.7,214.4,Humid,Furrow,Rice,73,34725,1,5,Monitor closely and consider treatment
2020-04-07,Cotton,North,Summer,Hessian Fly,21.6,45.9,146.0,11.8,72.4,7.2,Clay,161.0,52.8,194.2,Sunny,Drip,Barley,27,79337,1,10,Immediate pesticide application recommended
2024-11-09,Cotton,South,Summer,Japanese Beetles,22.0,31.6,96.8,5.3,75.8,8.3,Silt,183.8,40.2,53.9,Windy,Sprinkler,Tomato,43,67405,1,10,Immediate pesticide application recommended
2023-07-01,Potato,West,Winter,Thrips,39.1,85.4,44.2,11.6,69.6,6.1,Clay,42.2,57.9,284.0,Cloudy,Drip,Sugarcane,100,47759,1,8,Immediate pesticide application recommended
2021-08-13,Potato,North,Spring,Armyworms,30.4,94.4,21.0,15.5,71.4,7.6,Chalky,142.4,71.7,139.9,Humid,Flood,Rice,73,32556,1,10,Immediate pesticide application recommended
2024-09-05,Tomato,Northwest,Summer,Thrips,36.7,89.4,76.7,15.0,65.9,7.3,Loam,143.4,80.6,272.5,Cloudy,Furrow,Barley,29,49041,1,8,Immediate pesticide application recommended
2021-10-26,Rice,North,Spring,Boll Weevils,29.5,32.3,69.8,16.3,30.1,7.1,Sandy,15.8,8.5,255.7,Stormy,Sprinkler,Sugarcane,134,51546,1,10,Immediate pesticide application recommended
2025-12-04,Sugarcane,North,Summer,Stem Borers,34.2,44.0,93.4,2.6,13.6,6.9,Silt,112.7,65.6,231.5,Sunny,Flood,Potato,83,47722,0,0,None
2022-09-01,Tomato,Northwest,Summer,Grasshoppers,27.9,51.0,119.3,8.1,40.7,5.3,Sandy,14.8,96.5,259.0,Rainy,Drip,Tomato,25,69019,1,10,Immediate pesticide application recommended
2021-07-31,Wheat,North,Winter,Whiteflies,18.9,46.3,82.4,21.4,56.2,6.0,Peat,191.4,75.1,188.6,Stormy,Sprinkler,Wheat,140,25250,1,10,Immediate pesticide application recommended
2025-08-04,Rice,South,Summer,Stem Borers,23.9,79.3,2.2,3.5,13.2,5.1,Peat,172.5,71.8,168.5,Sunny,Sprinkler,Wheat,30,47474,1,8,Immediate pesticide application recommended
2021-02-10,Tomato,Northeast,Autumn,Grasshoppers,19.3,58.2,59.8,18.5,54.5,5.2,Chalky,81.2,64.5,175.8,Windy,Flood,Barley,77,45938,1,10,Immediate pesticide application recommended
2021-10-24,Soybean,Northwest,Autumn,Boll Weevils,16.8,71.8,4.0,17.6,75.8,7.0,Silt,83.8,66.1,164.6,Sunny,None,Rice,28,55234,1,10,Immediate pesticide application recommended
2024-08-14,Tomato,Central,Summer,Spider Mites,39.0,88.8,29.4,2.1,17.1,5.1,Sandy,27.9,69.9,67.8,Sunny,Flood,Soybean,50,48716,1,9,Immediate pesticide application recommended
2020-11-28,Soybean,Southwest,Spring,Leafhoppers,35.4,48.3,17.7,20.9,54.0,8.1,Clay,149.7,81.3,120.5,Windy,Sprinkler,Soybean,39,78308,1,8,Immediate pesticide application recommended
2024-02-26,Tomato,East,Autumn,Leafhoppers,39.8,56.8,55.8,23.3,33.9,8.3,Sandy,173.1,45.8,237.7,Dry,Flood,Barley,77,53122,1,10,Immediate pesticide application recommended
2021-02-10,Soybean,North,Spring,Thrips,27.6,83.7,48.0,26.9,37.2,5.0,Loam,182.0,13.7,129.8,Stormy,Drip,Wheat,95,70536,1,10,Immediate pesticide application recommended
2020-04-21,Soybean,East,Winter,Thrips,22.3,51.4,100.9,22.6,65.4,7.8,Clay,27.3,52.0,64.4,Dry,Drip,Rice,48,55755,1,10,Immediate pesticide application recommended
2023-01-16,Cotton,Southwest,Summer,Thrips,23.8,37.6,21.4,22.8,53.3,5.4,Clay,26.0,71.6,68.2,Cloudy,Flood,Cotton,20,78911,1,10,Immediate pesticide application recommended
2021-05-19,Barley,West,Spring,Spider Mites,17.1,94.1,56.1,11.1,66.9,8.3,Peat,197.3,76.6,144.1,Stormy,Furrow,Maize,70,76662,0,0,None
2025-12-18,Maize,Southeast,Spring,Flea Beetles,17.8,62.0,1.7,14.1,13.9,5.4,Loam,32.3,66.7,236.5,Windy,Furrow,Barley,78,30433,1,9,Immediate pesticide application recommended
2021-12-08,Rice,Southeast,Spring,White Grubs,22.1,86.5,33.5,28.9,10.9,8.4,Sandy,18.2,89.7,181.9,Cloudy,Furrow,Cotton,88,73774,1,10,Immediate pesticide application recommended
2024-05-01,Barley,North,Summer,Stem Borers,39.2,64.0,94.4,20.9,41.8,7.2,Loam,121.0,90.6,61.4,Rainy,Drip,Soybean,99,62040,1,10,Immediate pesticide application recommended
